name,r,a,s
recfem_l-P2,-69.79257444049675,24.029485466620056,325.2960944608777
recfem_l-P3,-68.16933734482998,26.43210898727921,319.95933352533393
recfem_l-P4,-70.71714596463777,23.85764423697138,282.884029501611
vasint_l-P3,-68.66218283282619,20.39321332674476,325.2318662350658
vasint_l-P4,-70.29441761275291,23.86655348459828,282.89185742040314
vaslat_l-P3,-83.47166120155329,24.63247196514879,318.73618338389866
vaslat_l-P4,-78.06423267991191,23.70305932872037,282.74851621753083
vasmed_l-P3,-52.24219458906596,21.512935722677682,322.1749056525679
vasmed_l-P4,-62.131337959583526,24.038902324462477,283.0436546202676
