name,r,a,s
Gastroc_at_condyles_l,-72.02872678696754,-16.657084145743763,297.76299908689464
KnExt_at_fem_l,-74.11122721762635,-18.53386743816321,304.9113972702416
AB_at_femshaft_l,-93.18434606738602,-26.59573080538071,576.2978492964024
AL_at_femshaft_l,-83.24432398270957,-9.38796693822137,458.56522211046286
AMprox_at_femshaft_l,-96.54781271785697,-33.63112380832045,617.4485225686329
AMmid_at_femshaft_l,-89.34513753856073,-19.191386383223595,527.911403291035
AMdist_at_femshaft_l,-77.60382135864552,-6.465605317926776,431.2718280463055
AMisch_at_condyles_l,-70.1237497431763,-43.81053031563383,335.0611208156823
PECT_at_femshaft_l,-101.28080690179048,-33.31532008669689,605.9523861656382
