name,r,a,s
recfem_r-P2,85.06834435505908,24.416657000578255,335.69514761174116
recfem_r-P3,83.50746466196168,26.848892168482962,330.3462033204162
recfem_r-P4,85.10712603194364,24.293861525380535,294.1581815902325
vasint_r-P3,83.69960602887092,20.804513345643944,335.7081842530033
vasint_r-P4,84.68787810409823,24.309475389651695,294.1536311644113
vaslat_r-P3,98.56453080757178,24.809694752181993,329.6303244800267
vaslat_r-P4,92.39360399911706,24.02261402615695,294.2371587161916
vasmed_r-P3,67.3966773663296,22.18722232670623,332.20874464203376
vasmed_r-P4,76.59186674360069,24.61113319905934,294.06563000595617
