name,r,a,s
Gastroc_at_condyles_r,83.96212425350203,-16.10975424079717,310.2904748794106
KnExt_at_fem_r,86.10372912292895,-18.0764440621286,317.27651956709747
AB_at_femshaft_r,111.21444580068422,-29.755182338618077,580.5950144152938
AL_at_femshaft_r,100.049671969541,-10.830678368176239,465.2234814646584
AMprox_at_femshaft_r,114.42025566258442,-37.05203105293904,621.4422080444647
AMmid_at_femshaft_r,107.11107208625205,-21.71102890307519,532.9678681322874
AMdist_at_femshaft_r,93.88549194997451,-7.460808479778157,438.7200663312628
AMisch_at_condyles_r,81.62151503918976,-43.45404572854869,347.61231992051535
PECT_at_femshaft_r,119.10357510436492,-36.72538712426609,610.1298538293316
