,body,name,location
0,patella_r,recfem_r-P2,[0.01004552007854313 0.04447147834205111 0.00160513923407328]
1,patella_r,recfem_r-P3,[0.01531390763839094 0.03670796070905658 0.00035873432609381]
2,patella_r,recfem_r-P4,[0.00354532924508825 0.00092789858907304 0.00059327878643154]
3,patella_r,vasint_r-P3,[ 0.00436463889545537  0.04628963108839821 -0.00192870300122714]
4,patella_r,vasint_r-P4,[0.00359551157523622 0.00091059696648836 0.00010075262730479]
5,patella_r,vaslat_r-P3,[0.00525208019377809 0.0364752246983129  0.02228642177257636]
6,patella_r,vaslat_r-P4,[0.00215739618345442 0.00127548215628258 0.00975665963237831]
7,patella_r,vasmed_r-P3,[ 0.00651830654252014  0.03993078219398524 -0.01900141076655541]
8,patella_r,vasmed_r-P4,[ 0.0042723776651347   0.00056169675812998 -0.00898099840139701]
