,body,name,location
0,pelvis,RASI,[ 0.00977119415203367 -0.00331599212180111  0.10929910029199533]
1,pelvis,RPSI,[-0.1517924321555022   0.03671205692881726  0.04452010238911145]
2,pelvis,LPSI,[-0.15126462289215795  0.03463826612085018 -0.04019704830356382]
3,pelvis,LASI,[ 0.0163695359956212   0.00466144954761274 -0.11971464934318436]
4,pelvis,PE01,[-0.14082654855244545  0.05884986644144607  0.00134529965366064]
5,pelvis,PE02,[-0.16020466406322578  0.02046049724598705  0.03282318553193581]
6,pelvis,PE03,[-0.1597533028983721   0.0190799659755314  -0.02725572984649549]
