name,body,location
tibia_l_lat,tibia_l,[-0.00023548104272639 -0.0313905539595481  -0.0406665390792823 ]
tibia_l_med,tibia_l,[-0.00022678389921269 -0.03053184017890956  0.04139757296313715]
tibia_l_epiph_yellow_anterior_plate,tibia_l,[ 0.01852329296152309 -0.02303286814163817  0.00019283296305294]
tibia_l_epiph_yellow_patel_tend_point,tibia_l,[ 0.02663499210552901 -0.05584417211633459  0.00277841240718581]
tibia_l_epiph_yellow_posteriormost,tibia_l,[-0.02314205203453543 -0.03372125514147394  0.0002911811582709 ]
tibia_l_ankle_yellow_anter,tibia_l,[ 0.01900910289660974 -0.3543453308293224   0.00243858720600527]
tibia_l_epiph_green_medial_lower_epiph,tibia_l,[-0.00057566515405223 -0.05261697039513735  0.0224553781841818 ]
fibula_l_as,tibia_l,[-0.0033484073589502  -0.05755515214572372 -0.02052800669536954]
tibia_l_midshaft_anter,tibia_l,[ 0.02045613234806133 -0.1914875179902843  -0.00703712915183313]
tibia_l_midshaft_poster,tibia_l,[-0.00303001092718132 -0.19149879764855224  0.00628399736277846]
fibula_l_midshaft_anter,tibia_l,[-0.01346034989973732 -0.19252174069937267 -0.02551863922854011]
tibia_l_anter_diaph_25,tibia_l,[ 0.02407783369455602 -0.09271086012251163 -0.00970954116430874]
tibia_l_anter_diaph_75,tibia_l,[ 0.01760290562070041 -0.28756330361357824 -0.00435298532109132]
fibula_l_anter_diaph_75,tibia_l,[-0.00761554120127196 -0.288266733494989   -0.02211064925827495]
knee_r_center,tibia_r,[0. 0. 0.]
fibula_r_lat_malleol_tip,tibia_r,[-0.00842330932000798 -0.3937265419079223   0.02499545885439732]
tibia_r_med_malleol_tip,tibia_r,[ 0.01129038907520782 -0.3807574658428996  -0.02146419666842777]
ankle_r_lat,tibia_r,[-0.00618384376982175 -0.3722870063900416   0.04273862831287473]
ankle_r_med,tibia_r,[ 0.00855465407374579 -0.36696571484491225 -0.03496362599267603]
ankle_r_center,tibia_r,[ 0.00122237685705562 -0.3697881702444371   0.0040706356632386 ]
talus_r_center_in_tibia,tibia_r,[-0.00006139498816881 -0.38730816663651113  0.0000204657804761 ]
tibia_r_center,tibia_r,[ 0.                  -0.03164256301994613  0.                 ]
tibia_r_lat,tibia_r,[-0.00012053162447254 -0.03166235933670621  0.03920796148711207]
tibia_r_med,tibia_r,[-0.000125107026594   -0.03137921192806667 -0.03945648658523414]
tibia_r_epiph_yellow_anterior_plate,tibia_r,[ 0.01852559710395989 -0.02283744625031213 -0.00050030054232811]
tibia_r_epiph_yellow_patel_tend_point,tibia_r,[ 0.02704925013587204 -0.05486070096352302 -0.00334248913798451]
tibia_r_epiph_yellow_posteriormost,tibia_r,[-0.0233847247220723  -0.03560755413450767  0.00020569895306463]
tibia_r_ankle_yellow_anter,tibia_r,[ 0.0182130935190617  -0.3573884121052999  -0.00013590147176036]
tibia_r_epiph_green_medial_lower_epiph,tibia_r,[-0.00028318740674268 -0.05345618017814104 -0.02143840523636588]
fibula_r_as,tibia_r,[-0.00285374220412517 -0.05880480444192639  0.01877064490858475]
tibia_r_midshaft_anter,tibia_r,[ 0.02015963211822829 -0.18313456937030018  0.00588143365599668]
tibia_r_midshaft_poster,tibia_r,[-0.00382950772807804 -0.1840244615894909  -0.00598362141493004]
fibula_r_midshaft_anter,tibia_r,[-0.01380724622052685 -0.18509552865919254  0.02318679000016091]
tibia_r_anter_diaph_25,tibia_r,[ 0.02455941220241638 -0.08983683016215278  0.00855618035027328]
tibia_r_anter_diaph_75,tibia_r,[ 0.01649249099200206 -0.2866685448737828   0.00258646737245673]
fibula_r_anter_diaph_75,tibia_r,[-0.00984591381832515 -0.28790176310530374  0.02010377933762598]
