,body,name,location
0,patella_l,recfem_l-P2,[ 0.0048297577700453   0.04319446707118346 -0.00022066138383518]
1,patella_l,recfem_l-P3,[0.00741176475763322 0.03791820021646743 0.00187971470095082]
2,patella_l,recfem_l-P4,[ 0.00425121660895255  0.00113191612313756 -0.00031434423445443]
3,patella_l,vasint_l-P3,[0.00172961500225738 0.04339720225282474 0.00221824788442865]
4,patella_l,vasint_l-P4,[0.00430615384065208 0.0011239020471001  0.00019958949908622]
5,patella_l,vaslat_l-P3,[ 0.00222059441708156  0.03744009806463646 -0.02005738803798719]
6,patella_l,vaslat_l-P4,[ 0.00322587576508575  0.00125239435359799 -0.00986006439282857]
7,patella_l,vasmed_l-P3,[0.0035555661330956  0.04023335627245484 0.01993177529498064]
8,patella_l,vasmed_l-P4,[0.00537227374387187 0.00091982195801529 0.00963392159083718]
