,body,name,location
0,femur_l,LTH1,[ 0.01465047969353243 -0.20811482771025086 -0.04890287643538953]
1,femur_l,LTH2,[ 0.00626102853511206 -0.2820136093762934  -0.04903590316336288]
2,femur_l,LTH3,[ 0.04376471699523403 -0.25637176128179884 -0.02624591421906475]
3,femur_l,LGT,[-0.01607218916463409 -0.00900648417553512 -0.08967409925895624]
4,femur_l,LKNE,[-0.00004332242203487 -0.38469135656079567 -0.04993665448378667]
5,femur_l,LMKNE,[-0.00010740830607025 -0.3861839241475117   0.05048060670511583]
