,body,name,location
0,femur_r,RTH1,[ 0.01175563714856901 -0.19792648622757134  0.06824104052626127]
1,femur_r,RTH2,[ 0.01485104861883687 -0.27200024521124194  0.06057203576869803]
2,femur_r,RTH3,[ 0.04122635187698998 -0.2443172239236363   0.05185151945348822]
3,femur_r,RGT,[-0.01499353873860827 -0.00542261241248281  0.08824348755141026]
4,femur_r,RKNE,[-0.00001694751657317 -0.3748661909471507   0.04947194282195153]
5,femur_r,RMKNE,[-0.00013834285483131 -0.3775061477075743  -0.04997081945224321]
